player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Arnoldas Kulboka,kulboar01,2022,7,3,-10.01917481311337,-27.08852055571924,-37.10769536883261,-20.21417520277459,-58.64078728497454,-78.85496248774913,-12.73360349942429,-35.36654640529453,-48.10014990471881,-.0680912172661487,-.0680912172661487,0,-15.53630485153855,-31.29044360708711,-46.82674845862567,-1.901619415169067
Jonathan Kuminga,kuminjo01,2022,972,458,-3.409801204095413,-.6377748961298071,-4.04757610022522,-6.699279425095529,1.40183602903777,-5.297443396057759,-4.330656815540618,-.3602962923554415,-4.690953107896059,-.4577182629819874,-.4577182629819874,0,-3.478455014039516,-.3675019583150234,-3.845956972354539,.9187858448615236
Kyle Kuzma,kuzmaky01,2022,3148,1525,-1.798391347362627,-.0264311737038106,-1.824822521066437,.454806752992695,-4.264876067284091,-3.810069314291396,-1.422997209820725,-.8918704060610375,-2.314867615881763,.338592040381433,.338592040381433,0,-1.212646170121516,-1.098810242194516,-2.311456412316032,.0103576984725815
Anthony Lamb,lamban01,2022,18,8,-7.513486139273239,-.6340523383944827,-8.147538477667723,.9648152629138522,16.46783561963699,17.43265088255085,-6.114235092947531,2.957571420668864,-3.156663672278667,-.0016425426870944,-.0016425426870944,0,-1.568689355716171,-1.434096191358866,-3.002785547075037,-1.040633096060503
Jeremy Lamb,lambje01,2022,1182,564,2.01495982802046,-1.285352019436773,.7296078085836872,2.339927305196313,.648332692667497,2.98825999786381,2.209838095519738,-.9386174546276066,1.271220640892131,1.153158821066472,1.153158821066472,0,2.131862903214893,-1.339729624130055,.7921332790848381,-.341661900338201
Jock Landale,landajo01,2022,728,333,.173823131445472,-2.08046343065804,-1.906640299212569,-1.610507542143977,.9572439869900953,-.6532635551538815,-.1907870825326872,-1.536654495102273,-1.727441577634961,.1749610965123375,.1749610965123375,0,.26091758617049,-2.365208562862612,-2.104290976692122,.7081504404305067
Romeo Langford,langfro01,2022,1409,687,-.964629996560741,.1335517745070966,-.8310782220536445,-2.463598698161142,1.206286465294304,-1.257312232866838,-1.346663897107221,.3341321762210644,-1.012531720886157,.6055729134379457,.6055729134379457,0,-1.546899208551941,-.3314226376540648,-1.878321846206006,-.5612583855653044
Zach LaVine,lavinza01,2022,2977,1432,3.259261105319576,-1.928463378858029,1.330797726461547,1.023575382542104,-2.395733516068363,-1.372158133526258,2.909619586662773,-2.137959894936909,.7716596917258638,2.578829964386685,2.578829964386685,0,2.180846483690056,-2.624150895899782,-.4433044122097262,.2283395526913204
Jake Layman,laymaja01,2022,350,161,-4.231284048335624,-.1179224989743941,-4.349206547310018,-4.541485034266672,-2.612411947563583,-7.153896981830255,-4.578253489462567,-.6424910888507883,-5.220744578313356,-.2038109889801359,-.2038109889801359,0,-2.912764993401244,-2.110732120379727,-5.023497113780971,.4224909077470275
Damion Lee,leeda03,2022,1632,787,-2.359667029708571,-.2788420577307787,-2.63850908743935,-3.420319890210285,.1443575264775714,-3.275962363732713,-2.742604422504641,-.2940429948176372,-3.036647417322277,-.1142506159257152,-.1142506159257152,0,-2.61595581401324,.1006718296336619,-2.515283984379578,-.7342120073178771
